模型名称：数据导出
合约名称：PTA1309 
测试时间：2007-02-26 -- 2013-04-18
测试周期：日线
测试模式：实战模式
开仓时使用的资金比率：100%
最大开仓手数：1000
保证金比率：8%
单位：5吨/手
手续费：0圆/手
----------------------------------
  测试天数：		2243		  测试周期数：	1444
  指令总数：		1444		  平均交易周期：1
  初始资金：		2147483647		  最终权益：	2147462528
  总收益率(盈利/初始资金)：	-0.00%	  盈利：	-21119.00
  扣除最大盈利后收益率：	-0.00%
  扣除最大亏损后收益率：	-0.00%

  可靠性(胜率)：	49.79%		  成交额：	120564400
  期望收益(平均R乘数)：	0.00R		  总手续费：	0

  总交易次数：		1444		
  盈利次数比例：	48.75%		  亏损次数比例：	50.14%
  平均利润率：		-0.00%		  平均每次盈利：	-15
  标准离差率：		-4873.0%		  标准离差：		667.16
  多头次数：		722		  空头次数：		721
  多头盈利次数：	350		  空头盈利次数：	354

  盈利次数：		704		  亏损次数：	724
  总盈利：		298580(0.01%)	  总亏损：	-318350(-0.01%)
  平均盈利率：		424(0.00%)	  平均亏损率：	-440(-0.00%)
  最大盈利额：		5940(0.00%)	  最大亏损额：	-7590(-0.00%)
  平均盈利周期：	1		  平均亏损周期：	1
  最大盈利周期：	1		  最大亏损周期：	1
  最大连续盈利次数：	11		  最大连续亏损次数：	9
  最大连续盈利：	9750(0.00%)	  最大连续亏损：	-8880(-0.00%)

  空仓总时间：		0		  最长空仓时间：	0
  空仓时间/总时间：	0.00%


开仓时间	开仓价格	交易类型	平仓时间	平仓价格	手数	手续费	盈利	扣除手续费后盈利	总资金	平仓类型

20070226	8656	多头	20070228	8600	1	0	-280	-280	2147483392	正常
20070228	8600	空头	20070302	8700	1	0	-500	-500	2147482880	正常
20070302	8700	多头	20070305	8778	1	0	390	390	2147483264	正常
20070305	8778	空头	20070306	8792	1	0	-70	-70	2147483136	正常
20070306	8792	多头	20070308	8708	1	0	-420	-420	2147482752	正常
20070308	8708	空头	20070313	8610	1	0	490	490	2147483264	正常
20070313	8610	多头	20070314	8648	1	0	190	190	2147483392	正常
20070314	8648	空头	20070315	8670	1	0	-110	-110	2147483264	正常
20070315	8670	多头	20070316	8664	1	0	-30	-30	2147483264	正常
20070316	8664	空头	20070319	8700	1	0	-180	-180	2147483136	正常
20070319	8700	多头	20070322	8712	1	0	60	60	2147483136	正常
20070322	8712	空头	20070323	8778	1	0	-330	-330	2147482752	正常
20070323	8778	多头	20070326	8726	1	0	-260	-260	2147482496	正常
20070326	8726	空头	20070329	8644	1	0	410	410	2147482880	正常
20070329	8644	多头	20070330	8722	1	0	390	390	2147483264	正常
20070330	8722	空头	20070402	8828	1	0	-530	-530	2147482752	正常
20070402	8828	多头	20070403	8900	1	0	360	360	2147483136	正常
20070403	8900	空头	20070404	8886	1	0	70	70	2147483264	正常
20070404	8886	多头	20070405	8850	1	0	-180	-180	2147483136	正常
20070405	8850	空头	20070406	8858	1	0	-40	-40	2147483136	正常
20070406	8858	多头	20070409	8830	1	0	-140	-140	2147483008	正常
20070409	8830	空头	20070410	8830	1	0	0	0	2147483008	正常
20070410	8830	多头	20070412	8924	1	0	470	470	2147483520	正常
20070412	8924	空头	20070413	9010	1	0	-430	-430	2147483136	正常
20070413	9010	多头	20070416	9166	1	0	780	780	2147483904	正常
20070416	9166	空头	20070417	9196	1	0	-150	-150	2147483648	正常
20070417	9196	多头	20070418	9228	1	0	160	160	2147483904	正常
