模型名称：数据导出
合约名称：PTA1309 
测试时间：2007-02-26 -- 2013-04-18
测试周期：日线
测试模式：实战模式
开仓时使用的资金比率：100%
最大开仓手数：1000
保证金比率：8%
单位：5吨/手
手续费：0圆/手
----------------------------------
  测试天数：		2243		  测试周期数：	1444
  指令总数：		1444		  平均交易周期：1
  初始资金：		2147483647		  最终权益：	2147470080
  总收益率(盈利/初始资金)：	-0.00%	  盈利：	-13567.00
  扣除最大盈利后收益率：	-0.00%
  扣除最大亏损后收益率：	-0.00%

  可靠性(胜率)：	50.48%		  成交额：	118554736
  期望收益(平均R乘数)：	0.00R		  总手续费：	0

  总交易次数：		1444		
  盈利次数比例：	49.45%		  亏损次数比例：	49.45%
  平均利润率：		-0.00%		  平均每次盈利：	-9
  标准离差率：		-6727.6%		  标准离差：		648.07
  多头次数：		722		  空头次数：		721
  多头盈利次数：	375		  空头盈利次数：	339

  盈利次数：		714		  亏损次数：	714
  总盈利：		300680(0.01%)	  总亏损：	-314590(-0.01%)
  平均盈利率：		421(0.00%)	  平均亏损率：	-441(-0.00%)
  最大盈利额：		4240(0.00%)	  最大亏损额：	-6750(-0.00%)
  平均盈利周期：	1		  平均亏损周期：	1
  最大盈利周期：	1		  最大亏损周期：	1
  最大连续盈利次数：	14		  最大连续亏损次数：	8
  最大连续盈利：	8160(0.00%)	  最大连续亏损：	-9250(-0.00%)

  空仓总时间：		0		  最长空仓时间：	0
  空仓时间/总时间：	0.00%


开仓时间	开仓价格	交易类型	平仓时间	平仓价格	手数	手续费	盈利	扣除手续费后盈利	总资金	平仓类型

20070226	8468	多头	20070228	8600	1	0	660	660	2147484416	正常
20070228	8600	空头	20070302	8586	1	0	70	70	2147484416	正常
20070302	8586	多头	20070305	8654	1	0	340	340	2147484672	正常
20070305	8654	空头	20070306	8672	1	0	-90	-90	2147484672	正常
20070306	8672	多头	20070308	8708	1	0	180	180	2147484928	正常
20070308	8708	空头	20070313	8400	1	0	1540	1540	2147486464	正常
20070313	8400	多头	20070314	8646	1	0	1230	1230	2147487744	正常
20070314	8646	空头	20070315	8370	1	0	1380	1380	2147489024	正常
20070315	8370	多头	20070316	8664	1	0	1470	1470	2147490560	正常
20070316	8664	空头	20070319	8700	1	0	-180	-180	2147490304	正常
20070319	8700	多头	20070322	8634	1	0	-330	-330	2147490048	正常
20070322	8634	空头	20070323	8666	1	0	-160	-160	2147489792	正常
20070323	8666	多头	20070326	8726	1	0	300	300	2147490048	正常
20070326	8726	空头	20070329	8644	1	0	410	410	2147490560	正常
20070329	8644	多头	20070330	8622	1	0	-110	-110	2147490560	正常
20070330	8622	空头	20070402	8638	1	0	-80	-80	2147490560	正常
20070402	8638	多头	20070403	8838	1	0	1000	1000	2147491584	正常
20070403	8838	空头	20070404	8784	1	0	270	270	2147491840	正常
20070404	8784	多头	20070405	8802	1	0	90	90	2147491840	正常
20070405	8802	空头	20070406	8800	1	0	10	10	2147491840	正常
20070406	8800	多头	20070409	8760	1	0	-200	-200	2147491584	正常
20070409	8760	空头	20070410	8800	1	0	-200	-200	2147491328	正常
20070410	8800	多头	20070412	8850	1	0	250	250	2147491584	正常
20070412	8850	空头	20070413	8898	1	0	-240	-240	2147491328	正常
20070413	8898	多头	20070416	9010	1	0	560	560	2147491840	正常
20070416	9010	空头	20070417	9128	1	0	-590	-590	2147491328	正常
20070417	9128	多头	20070418	8940	1	0	-940	-940	2147490304	正常
20070418	8940	空头	20070419	8948	1	0	-40	-40	2147490304	正常
20070419	8948	多头	20070420	9026	1	0	390	390	2147490816	正常
20070420	9026	空头	20070423	9096	1	0	-350	-350	2147490560	正常
20070423	9096	多头	20070425	9050	1	0	-230	-230	2147490304	正常
20070425	9050	空头	20070426	9126	1	0	-380	-380	2147490048	正常
20070426	9126	多头	20070427	9124	1	0	-10	-10	2147490048	正常
20070427	9124	空头	20070430	9100	1	0	120	120	2147490048	正常
20070430	9100	多头	20070508	9038	1	0	-310	-310	2147489792	正常
20070508	9038	空头	20070509	9034	1	0	20	20	2147489792	正常
20070509	9034	多头	20070510	9022	1	0	-60	-60	2147489792	正常
20070510	9022	空头	20070511	8904	1	0	590	590	2147490304	正常
20070511	8904	多头	20070514	8808	1	0	-480	-480	2147489792	正常
20070514	8808	空头	20070515	9054	1	0	-1230	-1230	2147488512	正常
20070515	9054	多头	20070516	9036	1	0	-90	-90	2147488512	正常
20070516	9036	空头	20070517	8980	1	0	280	280	2147488768	正常
20070517	8980	多头	20070518	9006	1	0	130	130	2147489024	正常
20070518	9006	空头	20070521	9046	1	0	-200	-200	2147488768	正常
20070521	9046	多头	20070522	9032	1	0	-70	-70	2147488768	正常
20070522	9032	空头	20070523	9000	1	0	160	160	2147489024	正常
20070523	9000	多头	20070524	9054	1	0	270	270	2147489280	正常
20070524	9054	空头	20070525	9040	1	0	70	70	2147489280	正常
20070525	9040	多头	20070528	9108	1	0	340	340	2147489536	正常
20070528	9108	空头	20070529	9062	1	0	230	230	2147489792	正常
20070529	9062	多头	20070530	9024	1	0	-190	-190	2147489536	正常
20070530	9024	空头	20070531	9010	1	0	70	70	2147489536	正常
20070531	9010	多头	20070601	8806	1	0	-1020	-1020	2147488512	正常
20070601	8806	空头	20070604	8792	1	0	70	70	2147488512	正常
20070604	8792	多头	20070605	8800	1	0	40	40	2147488512	正常
20070605	8800	空头	20070606	8794	1	0	30	30	2147488512	正常
20070606	8794	多头	20070607	8700	1	0	-470	-470	2147488000	正常
20070607	8700	空头	20070608	8564	1	0	680	680	2147488768	正常
20070608	8564	多头	20070611	8580	1	0	80	80	2147488768	正常
20070611	8580	空头	20070612	8648	1	0	-340	-340	2147488512	正常
20070612	8648	多头	20070613	8584	1	0	-320	-320	2147488256	正常
20070613	8584	空头	20070614	8600	1	0	-80	-80	2147488256	正常
20070614	8600	多头	20070615	8630	1	0	150	150	2147488512	正常
20070615	8630	空头	20070618	8738	1	0	-540	-540	2147488000	正常
20070618	8738	多头	20070619	8732	1	0	-30	-30	2147488000	正常
20070619	8732	空头	20070620	8652	1	0	400	400	2147488512	正常
20070620	8652	多头	20070621	8620	1	0	-160	-160	2147488256	正常
20070621	8620	空头	20070622	8580	1	0	200	200	2147488512	正常
20070622	8580	多头	20070625	8536	1	0	-220	-220	2147488256	正常
20070625	8536	空头	20070626	8506	1	0	150	150	2147488512	正常
20070626	8506	多头	20070627	8490	1	0	-80	-80	2147488512	正常
20070627	8490	空头	20070628	8396	1	0	470	470	2147489024	正常
20070628	8396	多头	20070629	8332	1	0	-320	-320	2147488768	正常
20070629	8332	空头	20070702	8390	1	0	-290	-290	2147488512	正常
20070702	8390	多头	20070703	8450	1	0	300	300	2147488768	正常
20070703	8450	空头	20070704	8500	1	0	-250	-250	2147488512	正常
20070704	8500	多头	20070705	8488	1	0	-60	-60	2147488512	正常
20070705	8488	空头	20070706	8496	1	0	-40	-40	2147488512	正常
20070706	8496	多头	20070709	8508	1	0	60	60	2147488512	正常
