模型名称：数据导出
合约名称：PTA1309 
测试时间：2007-02-26 -- 2013-04-18
测试周期：日线
测试模式：实战模式
开仓时使用的资金比率：100%
最大开仓手数：1000
保证金比率：8%
单位：5吨/手
手续费：0圆/手
----------------------------------
  测试天数：		2243		  测试周期数：	1444
  指令总数：		1444		  平均交易周期：1
  初始资金：		2147483647		  最终权益：	2147452928
  总收益率(盈利/初始资金)：	-0.00%	  盈利：	-30719.00
  扣除最大盈利后收益率：	-0.00%
  扣除最大亏损后收益率：	-0.00%

  可靠性(胜率)：	50.97%		  成交额：	119566968
  期望收益(平均R乘数)：	0.00R		  总手续费：	0

  总交易次数：		1444		
  盈利次数比例：	49.24%		  亏损次数比例：	48.96%
  平均利润率：		-0.00%		  平均每次盈利：	-21
  标准离差率：		-3261.2%		  标准离差：		775.10
  多头次数：		722		  空头次数：		721
  多头盈利次数：	368		  空头盈利次数：	343

  盈利次数：		711		  亏损次数：	707
  总盈利：		347750(0.02%)	  总亏损：	-382070(-0.02%)
  平均盈利率：		489(0.00%)	  平均亏损率：	-540(-0.00%)
  最大盈利额：		4900(0.00%)	  最大亏损额：	-8500(-0.00%)
  平均盈利周期：	1		  平均亏损周期：	1
  最大盈利周期：	1		  最大亏损周期：	1
  最大连续盈利次数：	14		  最大连续亏损次数：	9
  最大连续盈利：	14700(0.00%)	  最大连续亏损：	-11020(-0.00%)

  空仓总时间：		0		  最长空仓时间：	0
  空仓时间/总时间：	0.00%


开仓时间	开仓价格	交易类型	平仓时间	平仓价格	手数	手续费	盈利	扣除手续费后盈利	总资金	平仓类型

20070226	8468	多头	20070228	8600	1	0	660	660	2147484416	正常
20070228	8600	空头	20070302	8600	1	0	0	0	2147484416	正常
20070302	8600	多头	20070305	8778	1	0	890	890	2147485184	正常
20070305	8778	空头	20070306	8792	1	0	-70	-70	2147485184	正常
20070306	8792	多头	20070308	8708	1	0	-420	-420	2147484672	正常
20070308	8708	空头	20070313	8400	1	0	1540	1540	2147486208	正常
20070313	8400	多头	20070314	8648	1	0	1240	1240	2147487488	正常
20070314	8648	空头	20070315	8380	1	0	1340	1340	2147488768	正常
20070315	8380	多头	20070316	8664	1	0	1420	1420	2147490304	正常
20070316	8664	空头	20070319	8700	1	0	-180	-180	2147490048	正常
20070319	8700	多头	20070322	8636	1	0	-320	-320	2147489792	正常
20070322	8636	空头	20070323	8666	1	0	-150	-150	2147489536	正常
20070323	8666	多头	20070326	8726	1	0	300	300	2147489792	正常
20070326	8726	空头	20070329	8644	1	0	410	410	2147490304	正常
20070329	8644	多头	20070330	8624	1	0	-100	-100	2147490304	正常
20070330	8624	空头	20070402	8638	1	0	-70	-70	2147490304	正常
20070402	8638	多头	20070403	8848	1	0	1050	1050	2147491328	正常
20070403	8848	空头	20070404	8884	1	0	-180	-180	2147491072	正常
20070404	8884	多头	20070405	8830	1	0	-270	-270	2147490816	正常
20070405	8830	空头	20070406	8858	1	0	-140	-140	2147490560	正常
20070406	8858	多头	20070409	8760	1	0	-490	-490	2147490048	正常
20070409	8760	空头	20070410	8830	1	0	-350	-350	2147489792	正常
20070410	8830	多头	20070412	8850	1	0	100	100	2147489792	正常
20070412	8850	空头	20070413	8898	1	0	-240	-240	2147489536	正常
20070413	8898	多头	20070416	9010	1	0	560	560	2147490048	正常
20070416	9010	空头	20070417	9176	1	0	-830	-830	2147489280	正常
20070417	9176	多头	20070418	9228	1	0	260	260	2147489536	正常
20070418	9228	空头	20070419	9040	1	0	940	940	2147490560	正常
20070419	9040	多头	20070420	9048	1	0	40	40	2147490560	正常
20070420	9048	空头	20070423	9108	1	0	-300	-300	2147490304	正常
20070423	9108	多头	20070425	9050	1	0	-290	-290	2147490048	正常
20070425	9050	空头	20070426	9126	1	0	-380	-380	2147489792	正常
20070426	9126	多头	20070427	9178	1	0	260	260	2147490048	正常
20070427	9178	空头	20070430	9100	1	0	390	390	2147490560	正常
20070430	9100	多头	20070508	9050	1	0	-250	-250	2147490304	正常
20070508	9050	空头	20070509	9072	1	0	-110	-110	2147490304	正常
20070509	9072	多头	20070510	9022	1	0	-250	-250	2147490048	正常
20070510	9022	空头	20070511	9008	1	0	70	70	2147490048	正常
20070511	9008	多头	20070514	8808	1	0	-1000	-1000	2147489024	正常
20070514	8808	空头	20070515	9132	1	0	-1620	-1620	2147487488	正常
20070515	9132	多头	20070516	9072	1	0	-300	-300	2147487232	正常
20070516	9072	空头	20070517	9000	1	0	360	360	2147487488	正常
20070517	9000	多头	20070518	9006	1	0	30	30	2147487488	正常
20070518	9006	空头	20070521	9046	1	0	-200	-200	2147487232	正常
20070521	9046	多头	20070522	9072	1	0	130	130	2147487488	正常
20070522	9072	空头	20070523	9018	1	0	270	270	2147487744	正常
20070523	9018	多头	20070524	9054	1	0	180	180	2147488000	正常
20070524	9054	空头	20070525	9112	1	0	-290	-290	2147487744	正常
20070525	9112	多头	20070528	9200	1	0	440	440	2147488256	正常
20070528	9200	空头	20070529	9108	1	0	460	460	2147488768	正常
20070529	9108	多头	20070530	9024	1	0	-420	-420	2147488256	正常
20070530	9024	空头	20070531	9026	1	0	-10	-10	2147488256	正常
20070531	9026	多头	20070601	9066	1	0	200	200	2147488512	正常
20070601	9066	空头	20070604	8888	1	0	890	890	2147489280	正常
20070604	8888	多头	20070605	8832	1	0	-280	-280	2147489024	正常
20070605	8832	空头	20070606	8832	1	0	0	0	2147489024	正常
20070606	8832	多头	20070607	8842	1	0	50	50	2147489024	正常
20070607	8842	空头	20070608	8686	1	0	780	780	2147489792	正常
20070608	8686	多头	20070611	8636	1	0	-250	-250	2147489536	正常
20070611	8636	空头	20070612	8690	1	0	-270	-270	2147489280	正常
20070612	8690	多头	20070613	8604	1	0	-430	-430	2147488768	正常
20070613	8604	空头	20070614	8646	1	0	-210	-210	2147488512	正常
20070614	8646	多头	20070615	8662	1	0	80	80	2147488512	正常
20070615	8662	空头	20070618	8738	1	0	-380	-380	2147488256	正常
20070618	8738	多头	20070619	8786	1	0	240	240	2147488512	正常
20070619	8786	空头	20070620	8730	1	0	280	280	2147488768	正常
20070620	8730	多头	20070621	8632	1	0	-490	-490	2147488256	正常
20070621	8632	空头	20070622	8646	1	0	-70	-70	2147488256	正常
20070622	8646	多头	20070625	8580	1	0	-330	-330	2147488000	正常
20070625	8580	空头	20070626	8506	1	0	370	370	2147488256	正常
20070626	8506	多头	20070627	8500	1	0	-30	-30	2147488256	正常
20070627	8500	空头	20070628	8490	1	0	50	50	2147488256	正常
20070628	8490	多头	20070629	8410	1	0	-400	-400	2147487744	正常
20070629	8410	空头	20070702	8390	1	0	100	100	2147487744	正常
20070702	8390	多头	20070703	8450	1	0	300	300	2147488000	正常
20070703	8450	空头	20070704	8530	1	0	-400	-400	2147487488	正常
20070704	8530	多头	20070705	8560	1	0	150	150	2147487744	正常
20070705	8560	空头	20070706	8510	1	0	250	250	2147488000	正常
20070706	8510	多头	20070709	8526	1	0	80	80	2147488000	正常
